Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-studie.json	33350	-	0	0	0	0	0	0	19	218	0	0	0	0	0	0	0	1	0	0	34	237	614	0	0	0	7	0	4
fsh-generated/resources/Bundle-mii-studie-test-data-bundle-studie.json	29197	15	32	0	1	0	0	0	3	3322	0	0	0	0	0	0	0	1	0	0	16	98	722	0	0	0	0	0	1
fsh-generated/resources/CapabilityStatement-MII-CPS-Metadata-Studie.json	39445	10	0	0	0	0	0	0	4	45	0	0	0	0	0	0	0	0	0	0	9	129	100	0	1	0	4	0	1
fsh-generated/resources/CodeSystem-associated-party-role-cs.json	7075	4	0	0	1	0	0	0	1	11	0	0	1	0	0	0	0	0	0	0	7	32	154	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-research-study-category-cs.json	6681	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	9	24	111	0	0	0	0	0	0
fsh-generated/resources/Consent-mii-exa-studie-consent.json	673	2	0	0	0	0	0	0	0	522	0	0	0	0	0	0	0	0	0	0	8	8	33	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-mii-exa-studie-dokument.json	935	2	0	0	0	0	0	0	0	524	0	0	0	0	0	0	0	0	0	0	5	10	26	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-mii-exa-studie-ein-auschluss-kriterium.json	5347	3	0	0	0	0	0	0	1	1051	0	0	0	0	0	0	0	0	0	0	5	24	45	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-mii-exa-studie-evidence-variable-age-restriction.json	642	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	9	24	0	0	0	0	0	0
fsh-generated/resources/Library-mii-exa-studie-register.json	914	1	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	7	7	19	0	0	0	0	0	0
fsh-generated/resources/Organization-mii-exa-studie-author.json	307	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	7	11	0	0	0	0	0	0
fsh-generated/resources/Organization-mii-exa-studie-custodian.json	313	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	5	11	0	0	0	0	0	0
fsh-generated/resources/Organization-mii-exa-studie-practitioner-organization.json	332	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	5	9	0	0	0	0	0	0
fsh-generated/resources/Patient-mii-exa-studie-patient.json	842	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	6	31	0	0	0	0	0	0
fsh-generated/resources/Practitioner-mii-exa-studie-practitioner.json	366	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	6	13	0	0	0	0	0	0
