property	pre	post	verdict
identity.id	mii-ig-studie	mii-ig-studie	unchanged
identity.canonical	https://www.medizininformatik-initiative.de/fhir/modul-studie	https://www.medizininformatik-initiative.de/fhir/modul-studie	unchanged
identity.packageId	de.medizininformatikinitiative.kerndatensatz.studie	de.medizininformatikinitiative.kerndatensatz.studie	unchanged
identity.name	MII_IG_Medizinisches_Forschungsvorhaben	MII_IG_Medizinisches_Forschungsvorhaben	unchanged
identity.version	2027.0.0-ballot.rc1	2027.0.0-ballot.rc1	unchanged
identity.fhirVersion	4.0.1	4.0.1	unchanged
identity.license	-	CC-BY-4.0	not-measurable
identity.calver	true	true	unchanged
identity.publisher	Medizininformatik Initiative	NUM-DIZ	expected-change
identity.status	active	active	unchanged
identity.title	-	MII Implementation Guide Medizinisches Forschungsvorhaben	not-measurable
licence.contradictory	false	true	REGRESSION
dependency_health.injection_risk	true	false	improved
narrative_sources.dual_source	true	false	improved
mode	static	static	unchanged
artifacts.profiles	7	7	unchanged
artifacts.extensions	14	14	unchanged
artifacts.valuesets	2	2	unchanged
artifacts.codesystems	2	2	unchanged
artifacts.logicals	1	1	unchanged
artifacts.capabilitystatements	1	1	unchanged
artifacts.questionnaires	0	0	unchanged
artifacts.searchparameters	15	15	unchanged
artifacts.operations	0	0	unchanged
artifacts.examples	17	17	unchanged
artifacts.rulesets	8	44	expected-change
artifacts.invariants	0	0	unchanged
artifacts.mappings	0	0	unchanged
artifacts.other_total	0	0	unchanged
artifacts.total	59	59	unchanged
narrative.pages	57	18	expected-change
narrative.intro_note_pages	0	7	expected-change
narrative.translation_pages	0	19	expected-change
directives.total	123	0	improved
